ph_sol,humidite_sol,carbone_organique,conductivite_electrique,temperature,humidite,precipitation,heures_ensoleillement,vitesse_vent,surface_champ,irrigation_precedente,type_sol_Loamy,type_sol_Sandy,type_sol_Silt,type_culture_Maize,type_culture_Potato,type_culture_Rice,type_culture_Sugarcane,type_culture_Wheat,stade_croissance_Harvest,stade_croissance_Sowing,stade_croissance_Vegetative,saison_Rabi,saison_Zaid,type_irrigation_Drip,type_irrigation_Rainfed,type_irrigation_Sprinkler,source_eau_Rainwater,source_eau_Reservoir,source_eau_River,paillage_Yes,region_East,region_North,region_South,region_West,target
8.1,-0.12594060265372753,-0.1469734708586486,1.76,0.9382402595857795,-1.3444487778348273,762.65,7.54,4.45,10.79,41.98,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0
7.27,1.2508073167314842,0.6854939784147261,0.64,0.4996256058246156,-0.21797923712776487,469.77,10.5,18.57,4.69,36.9,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0
7.94,-0.32374921176079813,1.1957159634532462,2.46,0.2491535535452137,-1.1081576736495726,973.72,4.04,10.4,11.8,43.65,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1
7.39,0.09195318830113787,1.6253765824330528,2.89,1.1275371101563876,-0.8391722028474904,1993.42,6.92,9.34,13.66,24.74,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
6.81,-1.6931934286559025,0.3901023028661096,2.5,0.0021442485323478313,0.2912602913888839,1758.8,6.34,1.64,3.01,86.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
5.45,-1.2129749899313527,0.09471062731749244,1.6,-0.7954418718596641,-0.33736321219830206,1002.58,10.73,2.14,5.7,41.57,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7.07,0.46322473154825516,-1.6776394259742087,3.09,0.4188281696054539,1.264660752026253,2344.67,10.82,13.99,8.08,7.44,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0
6.92,0.7243320955695882,-1.4896629051705437,0.57,1.5834655002502296,-0.9555839627710435,1021.94,8.1,15.65,4.78,14.02,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1
6.85,0.2581124199510774,-1.1942712296219267,0.99,0.3507274733635889,1.718914300323692,876.88,7.85,17.41,10.07,92.34,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
6.47,-1.2659268329846298,-1.5433704825430195,1.76,0.4499928950042734,-0.49142303065032367,361.8,10.32,10.3,12.56,11.58,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1
6.6,-0.2178455256542433,-0.33494999166231404,0.31,1.506130811297603,0.049520126100825,175.7,4.05,6.91,11.04,25.49,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
5.94,-0.5312960908546785,-0.5497803011522171,0.43,0.05408545753038036,-1.279060044601172,874.76,7.94,12.7,14.17,45.05,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0
6.57,-0.043773949640021174,0.4975174576110607,1.45,1.7196668927339596,0.27095015455115773,230.01,4.17,12.57,6.0,95.24,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1
5.47,1.2562850935990644,0.14841820468996827,3.31,-1.1774983202674152,1.5955673717238426,1156.59,10.78,1.18,2.98,9.09,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
7.54,0.928227123418415,0.33639472549363375,3.19,0.1291116483053162,0.8609348612275477,2150.02,6.24,18.81,13.09,23.38,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
5.43,-1.4716477864559834,-0.09326589348617273,1.68,-0.9928184660521882,-0.8916813371108804,1190.29,7.65,13.03,14.82,23.88,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
5.09,1.325670267255083,-0.7646106106421202,0.58,-0.16060487299482104,-0.20311816139284336,1201.45,6.92,0.63,6.87,55.83,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0
6.28,-0.126549244527903,1.598522793746815,0.71,-1.1394081003355245,-0.26256246433252983,633.6,10.26,19.21,3.11,48.34,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1
7.04,0.8174543023184554,-1.4359553277980681,1.38,-0.9593452424756783,-1.3979486504805452,415.74,11.0,19.08,4.53,96.66,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0
6.29,-1.2774910285939662,1.5448152163743392,0.81,-1.0008982096741044,1.3340124387892212,555.82,4.48,18.95,6.79,33.19,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1
5.74,0.5636506407872293,-0.6571954558971689,0.38,-0.6223045085328888,-0.41513617521105883,1419.97,9.12,17.83,2.37,15.12,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
6.7,-0.943346639671561,0.06785683863125451,2.39,-1.264067001930803,-0.023794514191455052,1479.48,6.58,4.1,6.05,28.59,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1
5.98,-0.24219120062126728,-1.3553939617393542,2.08,1.0721331538918197,-0.7277141348355779,550.47,4.97,19.55,10.54,37.77,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
7.97,-1.704757624265239,-1.4896629051705437,1.09,-0.9662707370087492,-1.20921298864704,997.3,6.84,15.36,7.94,70.54,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
7.94,-1.2373206648983766,-0.22753483691736237,2.75,-0.2875722727677898,1.3904845265819235,1421.71,10.99,12.99,11.83,46.39,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6.51,-1.4436502602439056,0.8466167105321537,2.74,-1.674979677559683,-1.6079851875341047,1901.16,6.5,18.88,1.86,26.56,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
5.91,-0.9311738021880488,-0.7914643993283582,1.77,-1.3667951708380228,-0.3512335495508957,799.42,5.94,7.93,12.63,13.06,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
7.31,-1.4162613759060037,0.22897957074868205,0.43,1.373392166080409,0.796041497185057,678.39,9.92,18.66,5.21,70.5,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1
4.92,0.6372963075624771,-0.7646106106421202,3.22,1.1679358282659686,-0.6667837243223993,1826.17,10.08,12.31,5.5,112.51,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0
6.41,-1.6621526930729467,-0.3618037803485517,2.37,1.1817868173321102,-0.19122930080490594,1284.53,6.37,11.8,9.01,24.96,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1
5.94,0.3798407947861978,1.4374000616293874,0.94,-0.3060402581893125,0.21943175867009637,2141.87,6.09,13.1,10.89,15.1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
7.93,-1.275056461097264,1.249423540825722,2.18,-1.2398277710650543,1.7129698700297231,527.51,8.53,15.21,2.57,108.92,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
4.84,1.5155665319978706,0.06785683863125451,1.48,-1.3564069290384164,0.8916477510797193,1927.36,5.44,9.18,0.6,71.46,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
6.68,1.4741788845539299,-0.8988795540733099,2.26,0.3668869606074213,1.6158775085615686,405.08,7.39,19.62,4.37,43.31,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
7.32,-0.9810824358704482,-1.0600022861907372,1.71,1.1379253519559944,0.6657593999089099,1461.93,4.99,2.23,5.13,7.16,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
6.45,0.3682765991768615,1.598522793746815,1.75,1.3860889060577055,-0.8049917286571707,709.08,6.13,18.32,2.54,90.92,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1
5.09,-1.6658045443180003,-1.033148497504499,2.6,-0.7308039228843348,-0.7410891029970076,252.73,6.08,13.32,11.58,86.16,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0
8.11,1.469309749560525,1.088300808708295,2.19,-0.6188417612663535,1.11406851791238,1541.91,8.86,18.24,9.94,107.7,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
6.56,0.051174182731372864,-0.44236514640726543,0.37,-1.380646159904165,-0.2546365572739051,1267.0,5.98,7.69,3.29,68.18,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
6.89,-1.6134613431388987,1.7059379484917667,0.32,0.9509369995630763,-0.4537749721218552,1214.95,10.29,16.67,2.58,38.17,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0
5.6,-0.5751183057953217,-0.44236514640726543,1.14,-0.7758196373492965,1.5395906531223038,1481.3,10.88,12.51,7.45,20.16,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1
6.44,-1.4966021032971828,-0.4960727237797413,1.56,-0.0648021986206722,-1.6917025808408301,931.09,4.57,16.71,12.87,26.51,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1
6.26,-0.3998294460327484,0.4975174576110607,1.04,1.486508576787235,0.08270986190881681,1675.42,6.78,6.84,5.82,61.52,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0
5.05,0.5612160732905269,1.6253765824330528,2.31,0.8747565596992956,0.9501013156370782,327.11,6.11,18.39,9.56,101.7,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
5.16,-0.1332443051438346,1.6790841598055288,0.76,-1.5480122777867145,0.8148655264492909,1787.43,6.46,18.52,3.58,108.2,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1
7.65,-0.4320874653640551,0.739201555787202,2.49,-1.702681655691967,-0.46318698675397246,1449.53,5.86,9.76,13.61,58.21,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
5.62,-1.349919411620863,0.9003242879046296,2.73,0.995952714028038,0.11986255124612097,1216.18,6.68,8.31,12.29,4.7,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
5.46,-0.9135231878369564,0.22897957074868205,0.52,0.18336135548103902,-1.718452517163689,319.13,4.99,11.72,12.53,14.18,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1
6.52,-1.415652734031828,0.9003242879046296,2.31,0.7639486471701592,0.11689033609913653,695.66,5.96,4.4,0.46,114.03,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1
7.41,1.038391302644199,1.2762773295119598,3.37,-1.1878865620670218,0.30958895146195414,738.24,9.23,10.18,7.49,27.5,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
5.01,-1.2939243591967076,-0.03955831611369689,0.76,1.289131982594711,1.2958690110695883,584.53,6.41,17.99,0.69,98.28,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1
6.76,0.3025432767658962,0.4438098802385855,3.19,0.9474742522965416,-1.0071023586521053,2385.45,5.45,7.62,12.77,111.48,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
5.21,-0.5739010220469706,0.14841820468996827,2.16,1.3549241806588856,1.1234805325444974,2289.1,4.76,14.85,2.83,112.56,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1
4.92,-0.9792565102479215,0.22897957074868205,2.11,-0.5495868159356432,0.751953639171456,1365.33,6.44,12.65,10.95,12.03,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0
4.98,0.4553123871839726,1.3836924842569116,0.28,-0.7758196373492965,0.5716392535877398,514.18,8.5,5.6,3.95,20.21,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0
7.64,-0.1776751619586538,-0.4960727237797413,2.64,-1.2052002983996992,-0.3700575788151299,2277.85,5.77,10.87,12.57,55.28,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
5.2,-0.3748751291915487,-1.0062947088182617,1.73,1.4899713240537706,-0.46368235594513646,1873.52,6.96,17.13,4.91,38.31,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1
4.95,0.29341364865326225,-0.1469734708586486,2.55,-1.1186316167363115,0.7009306124815583,96.93,10.67,11.32,0.9,43.85,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
6.29,-0.058989996494411216,-1.0062947088182617,2.85,-1.3171624600176806,1.696127317530145,1226.78,7.87,14.09,1.0,62.82,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
7.67,-0.7102368018623053,0.014149261258778665,1.88,-1.0632276604717432,-0.3324095202866618,1512.36,7.72,15.62,12.91,112.23,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
5.69,0.17655440881154655,1.4105462729431495,1.0,0.9405487577634702,1.4474519835657895,166.18,6.87,1.46,13.45,58.61,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1
6.23,0.559390147668,0.41695609155234753,0.58,1.350307184303505,0.29621398330052484,124.58,7.9,1.5,11.27,52.3,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1
4.94,-1.6706736793114052,1.249423540825722,0.65,1.0779043993360453,1.2725866590848778,1158.81,10.89,2.74,14.58,78.82,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,1
6.33,-0.14724306824987368,-1.1405636522494509,3.05,0.22029732632408447,-0.9848107450497227,4.88,5.78,3.68,13.74,16.82,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
6.76,-1.5629440675823236,1.4105462729431495,0.52,1.7115871491120433,0.905518088432313,117.09,10.59,16.32,10.84,57.71,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
6.74,-1.116200931937432,0.3632485141798717,1.41,-1.4914540724333012,1.1576610067348172,412.84,5.04,8.99,0.48,86.79,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1
5.93,0.1814235438049517,-1.623931848601733,1.24,1.2729724953508794,1.147753622911536,2274.93,4.78,4.11,3.06,71.14,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
5.87,1.2416776886188499,0.47066366892482336,3.04,-0.24948205283589944,0.98329105144507,1915.71,8.58,10.87,3.51,90.23,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
5.16,1.2994986666655322,1.598522793746815,1.72,-0.15483362755059552,-0.683130907630813,1126.07,5.76,15.39,4.41,106.3,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0
6.05,-1.5203391363900314,-1.4628091164843058,3.49,-1.2883062327965513,0.0723071088943716,1198.01,7.11,3.23,4.28,52.75,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1
5.14,-0.30914180678058356,0.3095409368073958,2.61,-1.6149587249397344,-0.6984873525568989,1715.06,9.11,7.22,3.11,86.63,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
7.41,0.2593297036994284,1.4642538503156255,2.99,-0.6338469994213406,-0.54839048763419,1185.97,7.74,4.29,7.44,48.76,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0
8.09,-1.2531453536269423,-1.7044932146604468,0.44,-1.1244028621805373,-0.6930382914540939,159.81,4.1,13.1,14.43,104.28,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
8.1,0.8923172528420547,0.47066366892482336,0.96,-0.05672245499875598,-0.7519872252026167,1846.83,6.14,3.17,0.98,52.24,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0
7.74,0.8186715860668068,-0.06641210479993481,0.56,-1.2202055365546862,0.6667501382912385,144.37,4.45,15.73,2.8,81.36,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
6.84,1.3707097659440777,-0.5229265124659792,1.68,-1.252524511042351,0.5171486425596933,1215.23,10.48,4.55,5.66,0.88,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0
7.18,-1.7339724342256677,0.47066366892482336,2.54,1.3064457189273893,-1.029393972254488,2154.27,9.56,1.64,9.26,47.8,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1
5.77,-1.0115145295792283,-1.5433704825430195,0.67,1.4599608477437964,0.6603103388061053,293.45,10.89,18.26,2.28,66.08,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0
